Year,Month,Day,j_day,hour,H,u,w,VPTG,Zic,Zim,L,z0,Bowen,r,Ws,Wd,Zref,temp,Ztemp,ipcode,pamt,rh,pres,ccvr,WSADJ,Subflag
19,12,31,365,19,-8,0.359999985,0.372658678,-9,230.5623932,178.6241608,519.6395632,0.011,1.428571429,1,5.318011284,27.17062393,10,269.3280029,2,11,1.415000081,89.5,9826,8,ADJ,NoSubs
19,12,31,365,18,-7,0.329999983,0.367769701,-9,253.258316,178.592926,457.4226201,0.011,1.428571429,1,4.816768646,25.19846737,10,269.3212891,2,11,2.0400002,90.20000458,9840,9,ADJ,NoSubs
19,12,31,365,17,-5,0.25,0.331740246,-9,260.2306213,3035.971191,278.4350762,0.037900001,1.428571429,1,3.753696918,32.77572121,10,269.3212891,2,11,1.786000133,89.40000153,9855,10,ADJ,NoSubs
19,12,31,365,16,10,0.370000005,0.407137309,-9,240.808548,3040.454346,-451.8501097,0.037900001,0.5,1,5.441681385,42.76023018,10,269.6410217,2,11,2.696000099,88.80000305,9862,10,ADJ,NoSubs
19,12,31,365,15,20,0.359999985,0.487845257,-9,207.4902344,178.4802856,-208.4485389,0.037900001,0.666666667,1,5.253168583,48.11925549,10,270.0960083,2,11,2.340000153,87.90000153,9875,10,ADJ,NoSubs
19,12,31,365,14,38,0.370000005,0.606124574,-9,209.5799561,178.4714661,-119.1816154,0.037900001,0.95,1,5.1903615,54.20467334,10,270.2616577,2,11,1.634000063,89.40000153,9889,10,ADJ,NoSubs
19,12,31,365,13,41,0.329999983,0.698241058,-9,296.8722839,178.3656006,-78.34932648,0.037900001,1.025,1,4.563877106,62.03964584,10,270.1930237,2,11,2.351999998,88.80000305,9911,10,ADJ,NoSubs
19,12,31,365,12,40,0.349999994,0.657937233,-9,253.8934021,178.2403717,-95.55251932,0.037900001,1.333333333,1,4.877830505,70.33190072,10,269.4602966,2,11,1.998000145,89.80000305,9927,10,ADJ,NoSubs
19,12,31,365,11,24,0.310000002,0.573886026,-9,280.1649475,178.3014221,-110.3981886,0.037900001,1,1,4.381430149,81.92171699,10,268.8344116,2,11,2.111999989,89.09999847,9947,10,ADJ,NoSubs
19,12,31,365,10,8,0.329999983,0.407703652,-9,301.2810364,178.2701721,-399.4107527,0.037900001,0.470588235,1,4.818576813,85.75803458,10,268.7600708,2,11,1.542000055,86,9958,9,ADJ,NoSubs
